"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"135",360050079005,1,285,221,506,8.10276679841897,2.76679841897233,16.600790513834,17.1936758893281,12.8458498023715,44.8616600790514,48.8142292490119,12.6482213438735,55.5335968,0,0,11.3122171945701,88.6877828054299,8.1447963800905,0,5.42986425339367,86.4253393665158,86.3309352517986,215.827338129496,258.992805755396,489.208633093525,395.68345323741,388.489208633094,805.755395683453,402.877697841727,776.978417266187,215.827338129496,395.68345323741,1,0.518780966592806,1,"14"
"136",360050079006,1,372,395,1248,9.2948717948718,3.68589743589744,18.1089743589744,20.2724358974359,14.0224358974359,32.9326923076923,67.0673076923077,0,44.7115385,0,23.1570513,22.7848101265823,77.2151898734177,3.0379746835443,0,11.3924050632911,85.5696202531646,28.3505154639175,67.0103092783505,108.247422680412,185.567010309278,206.185567010309,139.175257731959,180.412371134021,350.515463917526,278.350515463918,231.958762886598,198.453608247423,1,0.79388520612297,1,"15"
"138",360050083002,0,0,206,600,4.5,0,37.6666666666667,6.83333333333333,3.83333333333333,24.1666666666667,75.8333333333333,0,71,9.1666667,0,60.6796116504854,39.3203883495146,34.9514563106796,5.8252427184466,36.4077669902913,22.8155339805825,19.7628458498024,31.6205533596838,94.8616600790514,47.4308300395257,158.102766798419,284.584980237154,110.671936758893,126.482213438735,177.865612648221,118.577075098814,478.260869565217,0,0.183717262607165,0.504237288135593,"95"
"144",360050085001,0,0,272,754,3.84615384615385,7.16180371352785,10.2122015915119,24.0053050397878,10.4774535809019,8.62068965517241,91.3793103448276,0,59.3880389,14.8817803,5.8414465,86.3970588235294,13.6029411764706,9.92647058823529,0,66.9117647058823,23.1617647058824,68.75,125,300,175,312.5,262.5,393.75,450,450,562.5,756.25,0,0.256211373169887,2.01694915254237,"65"
"148",360050085005,0,0,424,1721,7.66995932597327,6.91458454386984,17.0830912260314,11.4468332364904,9.23881464264962,14.0615920976177,85.4154561301569,0,51.4501892,5.6116015,2.332913,67.9245283018868,32.0754716981132,2.35849056603774,7.78301886792453,39.8584905660377,50,20.1834862385321,47.7064220183486,88.0733944954129,117.43119266055,100.917431192661,99.0825688073395,269.724770642202,220.183486238532,214.678899082569,311.926605504587,282.56880733945,0,0.156681232113189,0.504237288135593,"40"
"156",360050089001,0,0,682,1900,4.36842105263158,13.1578947368421,19.3684210526316,15.1052631578947,13.9473684210526,18.6315789473684,79.7368421052632,1.05263157894737,33.4210526,24.1578947,10,51.3196480938416,48.6803519061584,4.83870967741935,6.59824046920821,33.2844574780059,55.2785923753666,29.9572039942939,48.5021398002853,132.667617689016,85.5920114122682,164.051355206847,239.657631954351,219.686162624822,216.833095577746,282.453637660485,213.98002853067,392.296718972896,0,0.441329568685395,2.01694915254237,"51"
"158",360050090001,0,0,10,34,0,0,0,44.1176470588235,55.8823529411765,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.253837447425261,1.00847457627119,"38"
"179",360050098005,0,0,717,1538,9.23276983094929,4.29128738621587,8.64759427828348,17.8803641092328,18.4005201560468,40.5071521456437,58.1274382314694,0.845253576072822,23.4070221,3.1859558,9.1027308,18.4100418410042,81.5899581589958,6.69456066945607,2.78940027894003,8.92608089260809,77.8242677824268,58.6510263929619,52.7859237536657,131.964809384164,70.3812316715543,117.302052785924,228.739002932551,164.222873900293,304.985337243402,211.143695014663,293.255131964809,451.612903225806,0,0.12648965949976,0.504237288135593,"104"
"181",360050115022,0,0,539,1298,8.39753466872111,4.23728813559322,16.4098613251156,9.70724191063174,13.7904468412943,24.191063174114,70.9553158705701,4.00616332819723,52.9457364,8.0620155,0.5426357,48.0519480519481,51.9480519480519,15.2133580705009,18.5528756957328,32.2820037105751,33.9517625231911,37.1352785145889,106.100795755968,222.811671087533,244.031830238727,265.25198938992,175.066312997347,315.649867374005,445.623342175066,381.962864721485,583.554376657825,583.554376657825,0,0.149319657008076,0.504237288135593,"40"
"188",360050119004,0,0,433,720,5.97222222222222,10,5.69444444444444,15.5555555555556,30.2777777777778,21.25,69.3055555555556,15.4166666666667,45,13.3333333,19.3055556,70.2078521939954,29.7921478060046,2.07852193995381,16.8591224018476,46.6512702078522,34.4110854503464,32.0512820512821,141.025641025641,288.461538461538,128.205128205128,480.769230769231,346.153846153846,583.333333333333,769.230769230769,692.307692307692,448.717948717949,705.128205128205,0,0.421320752891475,2.01694915254237,"78"
"190",360050123001,0,0,683,1409,10.4329311568488,5.46486870120653,15.6848828956707,11.1426543647977,7.73598296664301,42.2285308729595,55.8552164655784,2.1291696238467,44.1447835,3.0518098,0.2838893,34.2606149341142,65.7393850658858,12.0058565153734,8.49194729136164,25.3294289897511,54.1727672035139,38.2022471910112,85.3932584269663,168.539325842697,278.651685393258,337.078651685393,283.14606741573,393.258426966292,359.550561797753,262.921348314607,471.910112359551,716.85393258427,0,0.161450290059334,0.504237288135593,"32"
