"","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"226","1","1","1,2,3,5","6","4","2","2","2","4","2","2","4","2","2","3","1","5","2","group1 & group2",26
"227","1","1","5","22","4","3","3","4","5","3","2","3","3","4","3","1","5","2","group2",34
"228","0","1","1,3","47","","","","","","","","","","","","","","","group1",0
"229","0","1","5","39","","","","","","","","","","","","","","","group2",0
"230","0","1","5","44","","","","","","","","","","","","","","","group2",0
"231","1","1","1,2,3,5","22","2","2","4","2","4","1","1","1","2","2","2","2","5","2","group1 & group2",21
"232","1","","1,2,3","29","1","2","1","1","5","1","1","3","2","2","2","2","5","2","group1",19
"233","1","1","5","22","2","4","4","4","4","2","3","2","2","1","3","1","5","2","group2",28
"234","1","1","1,5","38","2","2","3","4","5","1","2","2","3","1","1","1","5","2","group1 & group2",25
"235","0","1","5","9","","","","","","","","","","","","","","","group2",0
